Campe,A dracaena that was charged by Cronus with the job of guarding the gates of Tartarus; she was slain by Zeus when he rescued the Cyclopes and Hecatoncheires from their prison
Ceto,A marine goddess who was the mother of all sea monsters as well as Echidna and other dragons and monsters.
Echidna,Wife of Typhon and mother of monsters.
Poena,A dracaena sent by Apollo to ravage the kingdom of Argos as punishment for the death of his infant son Linos; killed by Coraebus.
Scythian Dracaena,The Dracaena queen of Scythia; she stole Geryon's cattle that Heracles was herding through the region and agreed to return them on condition he mate with her.
Scylla,"A dracaena that was the lover of Poseidon, transformed by Circe into a multi headed monster that fed on passing sailors in the way between her and Charybdis."
Sybaris,"A draceana that lived on a mountain near Delphi, eating shepherds and passing travellers; she was pushed off the cliff by Eurybarus."
