Cerberus (Hellhound),"The three-headed giant hound, that guarded the gates of the Underworld."
Orthrus,"A two-headed dog, brother of Cerberus, slain by Heracles."
Argos,"Odysseus faithful dog, known for his speed, strength and his superior tracking skills.
Golden Dog,"A dog which guarded the infant god Zeus."
Guard Dog of Hephaestus Temple,"The temple of Hephaestus at Mount Etna was guarded by a pack of sacred dogs."
Laelaps,A female dog destined always to catch its prey.
Maera,"The hound of Erigone, daughter of Icarius of Athens."
