Corinthian Lamia, A vampiric demon who seduced the handsome youth Menippos in the guise of a beautiful woman to consume his flesh and blood.
Empousa,"Seductive female vampire demons with fiery hair, a leg of bronze and a donkey's foot. They are especially good at ensnaring men with their beauty before devouring them."
Lamia,"A vampiric demon who by voluptuous artifices attracted young men, in order to enjoy their fresh, youthful, and pure flesh and blood."
Mormolyceae,"A vampiric creature which preyed on children."
Mormolykeia,"Female underworld Daemons, attendants of the goddess Hecate."
